Assistance,Agency,Address,City,State,Zip,County,Services,Eligibility,Hours,Phone,Website,Latitude,Longitude
Shelter for Families,FAMILY PROMISE OF GREATER DENVER,1600 N Downing St,Denver,CO,80218,DENVER COUNTY,Provides shelter and supportive services to families experiencing homelessness.,"Eligibility: Families must:Pass a background check (adults in family) Pass a drug test (Adults only), if they fail they are given tim...","Monday - Friday, 9 a.m. - 5 p.m.",(303) 675-0713,http://fpgd.org/shelter,39.7182486,-104.9732171
Residential Program,HOPE HOUSE COLORADO,6475 Benton St Bldg A,Arvada,CO,80003,JEFFERSON COUNTY,"Provides a safe, structured home for a parenting teen mom while working through a program designed to help earn a GED or educational certificate and move on to further education...",Eligibility: Parenting teen mothers aged 15-20. Must also be a U.S. Citizen or documented resident. Clients must be enrolled into th...,"Monday, Thursday, 9 a.m. - 5 p.m.; Tuesday, Wedne...",(303) 429-1012 Ext 238,http://hopehouseofcolorado.org,39.8140575,-105.0557237
Runaway and Homeless Youth Overnight Shelter,TGTHR,3080 Broadway,Boulder,CO,80304,BOULDER COUNTY,"Provides street outreach and an overnight emergency shelter services for teens. The overnight shelter services include: Food Clothing Showers A place to be overnight For the overnight shelter, youth must participate in case management...",Eligibility: Youth aged 12 - 20. Registered sex offenders not permitted. Area Served: Boulder County,"Monday - Friday, 9 a.m. - 5 p.m.",(303) 447-1207,http://tgthr.org/,40.0306466,-105.2817333
Family Shelter,SALVATION ARMY COLORADO SPRINGS CORPS,709 S Sierra Madre St,Colorado Springs,CO,80903,EL PASO COUNTY,Provides a shelter for families experiencing homelessness.,Eligibility: Families experiencing homelessness Area Served:El Paso County,"Monday - Sunday, 9 a.m. - 11 a.m., 1 p.m. - 3 p.m...",(719) 578-9190,http://HelpColoradoSprings.com,38.8242437,-104.8293314
Transitional Housing for Families,ITHAKA HOUSING,321 Mesa Rd,Colorado Springs,CO,80905,EL PASO COUNTY,Provides transitional housing for a period of 1 - 2 years as families work to overcome their individual barriers to secure housing...,Eligibility: Families must:Have minor children in the household (unable to serve roommates or couples) Meet a minimum 15% of area med...,"Monday - Thursday, 8 a.m. - 5 p.m.",(719) 578-1629,http://ithakaland.org/families.html,38.8457952,-104.8316252
Transitional Housing,FAMILY LIFE SERVICES,1880 S Cascade Ave,Colorado Springs,CO,80905,EL PASO COUNTY,Provides a two year transitional housing program for working single mothers with minor children.,Eligibility: Homeless working single mothers with minor children. Area Served: El Paso County,"Monday - Friday, 9:30 a.m. - 1:30 p.m.",(719) 632-4661,http://hscs.org,38.8071899,-104.8267632
Emergency Shelter for Single Men,DENVER RESCUE MISSION,1130 Park Ave W,Denver,CO,80205,DENVER COUNTY,Provides emergency overnight shelter for men who are experiencing homelessness or in need of shelter (including sex offenders).,Eligibility: Individuals must be identifying men (gender on State ID) aged 18 and older. Transgender and Non Binary individuals welc...,"Monday - Sunday, 6 p.m. - 5:30 a.m. (Overnight Sh...",(303) 294-0157,http://denverrescuemission.org/location/lawrence-street-shelter,39.7547589,-104.9879997
Transitional Shelter for Women & Transgender Individuals,DELORES PROJECT,P.O. Box 1406,Denver,CO,80201,DENVER COUNTY,"Provides a low-barrier shelter for women and transgender individuals of any gender. Intake includes extended-stay and housing-focused shelter, where guests will be actively engaged in case management and working towards `nding permanent, stable housing...",Eligibility: Single individuals aged 18 and older who identify as 1 of the following: Female Non-binary Transgender of any gender ident...,24 hours/7 days a week,(303) 534-5411,http://thedeloresproject.org,39.7392364,-104.984862
Transitional Housing Services,INN BETWEEN OF LONGMONT,515 Kimbark St Suite 107,Longmont,CO,80501,BOULDER COUNTY,Provides a program that promotes stability for families and individuals experiencing homelessness through: Time-limited housing Comprehensive case managementLife skills training Provides transitional housing for up to 36 months for individuals and families...,Eligibility: Must be Referred by one of the partnering agencies Experiencing homelessness or at risk of becoming homelessLiving or wo...,"Monday - Friday, 8 a.m. - 4 p.m.",(303) 684-0810 Ext 124 (Info Line),http://theinnbetween.org,40.1680061,-105.1015395
Transitional Housing,MILE HIGH MINISTRIES,2330 W Mulberry Pl,Denver,CO,80204,DENVER COUNTY,"Provides assistance to families making the 2 year transformation from homelessness to a healthy, stable living environment with long-term transformational housing...",Eligibility: Individuals must:have children aged 18 years and younger pass a criminal report and drug test be sober for the past 90 da...,"Monday - Friday, 8:30 a.m. - 5 p.m.",(720) 377-1103,http://milehighmin.org/joshua-station/,39.7306416,-105.0146443
Transitional Housing for Families,PARTNERS IN HOUSING,455 Gold Pass Heights,Colorado Springs,CO,80906,EL PASO COUNTY,Provides a 1-year transitional housing and supportive services program for homeless families with minor children. Also assists homeless pregnant women and homeless families who are in the process of having their children placed back into their custody...,Eligibility: Applicants must: Be aged 18 or older Have minor children in household Be a legal resident (able to live and work in the US...,"Monday - Friday, 8:30 a.m. - 4:30 p.m.",(719) 473-8890,http://partnersinhousing.org,38.7935847,-104.8176344
Emergency Financial Assistance,EMERGENCY FAMILY ASSISTANCE ASSOCIATION,1575 Yarmouth Ave,Boulder,CO,80304,BOULDER COUNTY,Provides direct financial assistance to qualifying households in the City of Boulder and Boulder County mountain communities in the form of direct payment to vendors...,Eligibility: Households in the service area with a primary focus on: Families with children Seniors People with disabilities Area Serve...,"Monday, Wednesday, Friday, 12 p.m. - 4:30 p.m.; T...",(303) 442-3042,http://efaa.org/,40.058333,-105.2778705
Shelter,LA PUENTE,913 State Ave,Alamosa,CO,81101,ALAMOSA COUNTY,"Provides emergency shelter services for families, migrant farm workers, and other individuals in need.","Eligibility: Families experiencing homelessness, migrant farm workers, and other individuals in need Area Served: Alamosa, Conejos, C...","Monday - Sunday, 6 a.m. - 10 p.m.",(719) 589-5909,http://lapuentehome.org,37.4632287,-105.865571
Daytime Emergency Shelter for Seniors,SENIOR SUPPORT SERVICES,846 E 18th Ave,Denver,CO,80218,DENVER COUNTY,"Provides: Meals, as available Telephone Mail service Computer access Transportation assistance Storage for personal items Television room Library Hygiene item...",Eligibility: Individuals aged 60 and older Area Served: Denver County,"Monday - Friday, 7 a.m. - 7 p.m.; Sunday, 10 a.m....",(303) 832-1622,http://seniorsupportservices.org,39.7447102,-104.9766091
Day Center for the Homeless,GRAND VALLEY CATHOLIC OUTREACH,302 Pitkin Ave,Grand Junction,CO,81501,MESA COUNTY,Provides a day center for individuals experiencing homelessness. Addition services and amenities include: Shower and laundry services Telephone services P...,Eligibility: No restrictions applied Area Served: Mesa County,"Monday - Friday, 7 a.m. - 11 p.m.",(970) 263-9445,http://catholicoutreach.org,39.0646476,-108.5676123
Emergency Shelter for Families,GREELEY FAMILY HOUSE,1206 10th St,Greeley,CO,80631,WELD COUNTY,"Provides an emergency shelter program (up to 60 days) for families. While living at the shelter, families are required to look for employment and housing, and meet with a case manager on a weekly basis to develop a self-suhciency plan...",Eligibility: Families with children must have at least one adult aged 18 or older who:Has verifiable legal working status Can provide...,24 hours/7 days a week,(970) 352-3215,http://greeleyfamilyhouse.org,40.4225069,-104.6982977
Older Adult Program,CATHOLIC CHARITIES WELD COUNTY,1442 N 11th Ave,Greeley,CO,80631,WELD COUNTY,Offers services for older adults to help keep them safe and independent in their own homes. Services include: Case management Advocacy Benefit forms assistance Home visits Information and referrals Group and educational materials Translation/interpretation services Commodities and emergency food boxes Health and safety assessment...,Eligibility: Weld County residents aged 60 and older Area Served: Weld County,"Monday - Friday, 8:30 a.m. - 4:30 p.m.",(970) 353-6433,http://ccdenver.org,40.4501919,-104.6965757
Transitional Shelter for Single Adults and Families,CATHOLIC CHARITIES WELD COUNTY,1442 N 11th Ave,Greeley,CO,80631,WELD COUNTY,"Provides a 150 day transitional shelter and program for adults and families, with the goal of obtaining stable income and housing. Residents are provided with: Specialized case managementAssistance with obtaining government issued benefits for seniors Housing assistance Additional resource...",Eligibility: Single adults and families must: Be alcohol and drug-free Be willing to help with chores Not be a registered sex offender N...,"Monday - Friday, 8:30 a.m. - 4:30 p.m.",(970) 353-6433,http://ccdenver.org,40.4501919,-104.6965757
"Transitional Housing for Families, Seniors, & Single Adults",DENVER RESCUE MISSION,6090 Smith Rd,Denver,CO,80207,DENVER COUNTY,"Offers 1-year transitional housing for families, married couples, singles and seniors, as well as the following services:Case management On-site computer lab Three meals per day Laundry facilities Spiritual support Life skills workshops Youth development program...","Eligibility: Individuals and families must: Be low income Have verifiable income of $870 for individuals and $1,000 for families is r...","Monday - Friday, 8:30 a.m. - 5 p.m. (Administrati...",(303) 953-3963,http://denverrescuemission.org/who-we-are/locations/the-crossing,39.7753959,-104.9422916
Long-Term Shelter for Single Adults & Families,CATHOLIC CHARITIES LARIMER COUNTY,460 Linden Center Dr,Fort Collins,CO,80524,LARIMER COUNTY,"Provides a year-round, extended stay shelter program. Lengths of stay vary based on client needs and progress toward goals with a case manager (establishing income, building savings, and locating permanent housing), but are generally 4 - 6 months long. Additional...",Eligibility: Applicants must: Be experiencing homelessness Be aged 18 and older Commit to sober living environment Complete an applicat...,"Monday - Friday, 8:30 a.m. - 12 p.m., 1 p.m. - 5...",(970) 493-0141,http://ccdenver.org/larimer,40.5947368,-105.0692106
Family Shelter,HOUSE OF NEIGHBORLY SERVICE,1511 E 11th St,Loveland,CO,80537,LARIMER COUNTY,Provides a day center for families with children who are experiencing homelessness. Families are given resources and assistance with the goal of self-sufficiency...,Eligibility: Families must: Be experiencing homelessnessHave dependent children aged 18 or youngerBe legal residents of the US Area S...,"Monday - Wednesday, 9 a.m. - 4 p.m.; Thursday, 9 ...",(970) 663-1716,http://honservice.org/programs/family-promise-of-larimer-county.html,40.4033803,-105.0564413
Essential Needs Assistance,CROSSROADS MINISTRY OF ESTES PARK,1753 Wildfire Rd,Estes Park,CO,80517,LARIMER COUNTY,Offers limited assistance with basic and emergency needs. Services include: Partial rent or utility bill assistance Prescription assistance Emergency short-term lodging vouchers Bilingual case management Clothing and household goods vouchers Showers or laundry services vouchers Emergency transportation assistanc...,Eligibility: Estes Valley residents with an income that is at or below 50% of the area median income level (AMI) Area Served: Towns o...,"Monday - Thursday, 10 a.m. - 4 p.m.; Friday, 10 a...",(970) 577-0610,http://crossroadsep.org,40.3872371,-105.4903162
Transitional Housing and Support Services,WARREN VILLAGE,1323 Gilpin St,Denver,CO,80218,DENVER COUNTY,"Offers transitional housing to low-income, single-parent families for up to 4 years. Housing options consist of 1-3 bedroom apartments suitable for a parent and up to six children...",Eligibility: Single parents/guardians must:Be aged 18 and older Have custody of at least one child/ multiple children under the age o...,"Monday - Friday, 9 a.m. - 7 p.m.",(303) 321-2345,http://warrenvillage.org,39.7374544,-104.9674456
Transitional Housing,WARREN VILLAGE,1323 Gilpin St,Denver,CO,80218,DENVER COUNTY,Offers safe and affordable housing for young mothers interested in pursing high school diploma or GED in partnership with Florence Crittenton Services and other GED/high school diploma programs...,Eligibility: Must be: Aged 18-24 with custody of at least one and up to three children under 12 years old Enrolled at Florence Critten...,"Monday - Friday, 9 a.m. - 7 p.m.",(303) 320-5080,http://warrenvillage.org,39.7374544,-104.9674456
Community Shelter,HOMEWARD BOUND OF THE GRAND VALLEY,2853 North Ave,Grand Junction,CO,81501,MESA COUNTY,"Provides a safe year-round emergency shelter, meals, and respectful, compassionate services to individuals who are homeless in Mesa County...",Eligibility: Services for individuals experiencing homelessness aged 18 and older Area Served: Mesa County,"Monday - Friday, 9 a.m. - 4 p.m. (Administrative ...",(970) 256-9424,http://www.homewardboundgv.org,39.0768951,-108.5226613
Drop-in Center for Youth,SOX PLACE,2017 Lawrence St,Denver,CO,80205,DENVER COUNTY,Provides a daytime drop-in center offering:A hot meal Snacks Recreation Internet access Clothing Showers Personal hygiene items Crisis intervention Referrals to other resource...,Eligibility: Individuals experiencing homelessness aged 30 years and younger and their children aged 1 years and older. Area Served:...,"Tuesday - Friday, 11 a.m. - 4 p.m.; Saturday, 9 a...",(303) 296-3412,http://soxplace.com,39.7527751,-104.9915678
Transitional Housing,OPEN DOOR MINISTRIES,1530 N Marion St,Denver,CO,80218,DENVER COUNTY,Offers a transitional housing program and supports each individual to establish self-sufficiency through getting a job or enrolling in a school program...,Eligibility: Individuals aged 19 and older that are in a crisis situation Area Served:Statewide,"Monday - Friday, 8:30 a.m. - 4 p.m.",(303) 830-2201,http://odmdenver.org/need-housing,39.7820388,-104.9711284
Mobile Community Services for Single Men and Single Women,CHRIST'S BODY MINISTRIES,850 Lincoln St,Denver,CO,80203,DENVER COUNTY,"Provides, through the usage of mobile trailers and vans, the following services to the community: Hot meals Food assistance Clothing Showers Personal hygiene items Referrals to other agencies Hair cut...",Eligibility: No restrictions applied Area Served:Statewide,Hours Vary,(303) 860-1272,http://christsbody.org,39.7300143,-104.9857543
Temporary Housing for Women,VOLUNTEERS OF AMERICA COLORADO,601 S Irving St,Denver,CO,80219,DENVER COUNTY,Offers temporary housing to single women who experience long time homelessness with mental health issues.,Eligibility: Individuals must:Aged 18 or older Be chronically homeless women (homeless for one continuous year or four times in three...,24 hours/7 days a week (Operating Hours),(303) 934-9501,http://voacolorado.org/gethelp-denvermetro-ryes-irving,39.7056105,-105.0301767
Housing First Program,HOMEWARD PIKES PEAK,2010 E Bijou St,Colorado Springs,CO,80909,EL PASO COUNTY,Housing First provides housing and supportive services for people who suffer from: Mental illness Substance abuse Chronic homelessness Also offers veteran-specific housing for homeless veterans and their families...,Eligibility: Individuals and families amicted by: Chronic homelessness Substance abuse Mental illness Area Served: El Paso County,"Monday - Friday, 8:30 a.m. - 4:30 p.m.",(719) 473-5557,http://homewardpp.org/housing-crst,38.8360787,-104.7913581
Transitional Housing,EMERGENCY FAMILY ASSISTANCE ASSOCIATION,1575 Yarmouth Ave,Boulder,CO,80304,BOULDER COUNTY,Offers a 2 month transitional housing program for single and two-parent families with children.,Eligibility: Single or two-parent families with children who are residents of Boulder County Area Served: Boulder County,"Monday, Wednesday, Friday, 12 p.m. - 4:30 p.m.; T...",(303) 442-3042,http://efaa.org,40.058333,-105.2778705
