Assistance,Agency,Address,City,State,Zip,County,Services,Eligibility,Hours,Phone,Website,Latitude,Longitude
Pet Food Pantry Locator,COLORADO PET PANTRY,P.O. Box 323,Boulder,CO,80306,BOULDER COUNTY,Provides free temporary pet food through various food pantry organizations throughout Colorado.,No restrictions applied Area Served: Statewide,"Monday - Sunday, 9 a.m. - 5 p.m. (Administrative ...",(303) 818-0618,http://coloradopetpantry.org/events/category/pet-food-banks/,40.102555,-105.3632079
Mobile Food Pantry,COMMUNITY FOOD SHARE,13200 Westlake Dr,Broomfield,CO,80020,BROOMFIELD COUNTY,"Operates a mobile food pantry at rotating locations, offering : Fresh produce Dairy Non-perishable pantry items","Residents of the service area Area Served: Boulder, Broomfield counties","2nd, 4th Wednesday, 2:30 p.m. - 4 p.m.",(303) 652-3663,http://communityfoodshare.org/get-food/services-we-provide/mobile-pantries/,39.932143,-105.028041
Food Pantry,FISHES AND LOAVES,2221 N Wahsatch Ave,Colorado Springs,CO,80907,EL PASO COUNTY,Provides a food pantry to those in need living in Colorado Springs.,Residents of Colorado Springs Area Served: City of Colorado Springs,"Saturday, 10 a.m. - 12 p.m.",(720) 373-9760,No Website Listed,38.8649785,-104.815912
Food Pantry,TRINITY CHURCH OF THE NAZARENE,5055 El Camino Dr,Colorado Springs,CO,80918,EL PASO COUNTY,Provides a food pantry to those in need. Clothing may also be offered depending on availability.,No restrictions applied Area Served: El Paso County,"Sunday - Friday, 8 a.m. -12 p.m., 12:30 p.m. - 4:...",(719) 599-7990,http://trinitynazarene.net/ministries/trinity-cares/,38.9047925,-104.7710042
Food Pantry,OPEN ARMS FOOD BANK COLORADO SPRINGS,6540 Templeton Gap Rd,Colorado Springs,CO,80923,EL PASO COUNTY,Provides a food pantry to those in need on a once-a-month basis.,Residents of the service area Area Served: El Paso County,"3rd Saturday, 10 a.m. - 12 p.m.",(719) 591-1800,http://churchforallnations.com/openarms,38.9271667,-104.7169895
Food Pantry,PIKES PEAK CHRISTIAN CHURCH,4955 Bradley Rd,Colorado Springs,CO,80911,EL PASO COUNTY,Provides a food pantry to those in need.,"Residents of the service area Area Served: Zip Codes Served:  80817, 80911, 80916, 80925, 80926","Monday, Wednesday, 10 a.m. - 12 p.m., 1 p.m. - 4 ...",(719) 392-8855,http://pikespeakchristianchurch.com/help/,38.7622479,-104.6732616
Food Pantry,CHRISTIAN HOUSE OF PRAYER,4360 Bradley Rd,Colorado Springs,CO,80911,EL PASO COUNTY,Provides a food pantry to those in need.,No restrictions applied Area Served: El Paso County,"1st, 3rd Saturday, 10 a.m. - 12 p.m.",(719) 596-7469,http://chopcos.org/food-pantry,38.7622479,-104.6732616
Food Pantry,REDEEMED CHRISTIAN CHURCH OF GOD,3525 N Carefree Cir,Colorado Springs,CO,80917,EL PASO COUNTY,Provides a food pantry to those in need.,No restrictions applied Area Served: El Paso County,"Saturday, 11 a.m. - 12:30 p.m.",(719) 313-9053,No Website Listed,38.8822421,-104.7561668
Food Pantry,MANITOU SPRINGS COMMUNITY PANTRY,110 Cañon Ave,Manitou Springs,CO,80829,EL PASO COUNTY,Provides a food pantry to those in need.,Residents of the service area Area Served: Zip Code Served:  80829,"Wednesday, 1 p.m. - 2 p.m.",(719) 685-9259,http://standrewsmanitousprings.org/manitou-springs-food-pantry/,38.8581842,-104.9163419
Food Pantry,GOOD SHEPHERD UNITED METHODIST CHURCH,1201 Leta Dr,Colorado Springs,CO,80911,EL PASO COUNTY,Provides a food pantry to those in need.,No restrictions applied Area Served: El Paso County,"Thursday, 10 a.m. - 12 p.m.",(719) 392-5782,http://gsumc-cs.org/,38.766318,-104.738811
Food Pantry,LIGHTHOUSE BAPTIST CHURCH,4280 Hopeful Dr,Colorado Springs,CO,80917,EL PASO COUNTY,Provides a food pantry to those in need.,No restrictions applied Area Served: El Paso County,"Sunday, 6 p.m. - 7 p.m.",(719) 444-8502,http://lbcsprings.org,38.8934882,-104.7471265
Food Pantry,ST. RAPHAEL EPISCOPAL CHURCH,802 Leta Dr,Colorado Springs,CO,80911,EL PASO COUNTY,Provides a food pantry for those in need.,"Individuals living in the service area Area Served: El Paso County, Zip Codes Served:  80910, 80911, 80817","Friday, 10 a.m. - 12 p.m.",(719) 392-3563,http://straphaelepiscopal.org/,38.765272,-104.741755
Food Pantry,SPRINGS TABERNACLE CHURCH,6160 Burgess Rd,Colorado Springs,CO,80908,EL PASO COUNTY,Provides a food pantry for those in need.,No restrictions applied Area Served: El Paso County,"Monday - Sunday, 9 a.m. - 5 p.m.",(719) 495-3192,http://springstabernacle.com/,40.4671803,-106.7920972
Food Pantry,OPEN BIBLE BAPTIST CHURCH,824 S Union Blvd,Colorado Springs,CO,80910,EL PASO COUNTY,Provides a food pantry to those in need.,No restrictions applied Area Served: El Paso County,"3rd Saturday, 12 p.m. - 2 p.m. (Food Pantry)",(719) 475-2001,http://openbiblecares.org/schedule-overview,38.8205985,-104.7936946
Food Pantry,IMMACULATE HEART OF MARY - POPE JOHN PAUL II,353 S Pagosa Blvd,Pagosa Springs,CO,81147,ARCHULETA COUNTY,"Provides a food box to individuals, seniors and families in the community in need.",No restrictions applied Area Served: Archuleta County,"Monday - Thursday, 9 a.m. - 1 p.m.; Friday, 9 a.m...",(970) 731-5744,http://ihmjp2.org/food-pantry,37.2489634,-107.0786787
Food Pantry,DURANGO FOOD BANK,194 Bodo Dr #C,Durango,CO,81303,LA PLATA COUNTY,Distributes food to individuals and families in need. Services are limited to two times per month.,Low-income individuals and families. Area Served: La Plata County,"Monday - Friday, 9 a.m. - 3 p.m.",(970) 375-2672,http://durangoareafoodbank.org/food-assistance-programs/,37.245481,-107.877059
Food Pantry,EVANGEL ASSEMBLY OF GOD,209 W 5th St,Cortez,CO,81321,MONTEZUMA COUNTY,Provides emergency food box to those in need.,No restrictions applied Area Served: Montezuma County,"Monday - Thursday, 12 p.m. - 4 p.m.",(970) 565-4198,http://facebook.com/cortezevangelassemblyofgod,37.3432181,-108.5881688
Food Pantry - Cortez Family Worship Center,CORTEZ FAMILY WORSHIP CENTER,500 N Washington St,Cortez,CO,81321,MONTEZUMA COUNTY,"Provides a food box to individuals, seniors and families who live in the cities of Cortez, Dolores or Mancos.","Residents of the cities of Cortez, Dolores or Mancos Area Served: Montezuma County","Monday - Friday, 9:30 am - 2 pm",(970) 565-3709,No Website Listed,37.3544479,-108.5810914
Food Pantry,MANCOS FOOD SHARE,680 Grand Ave,Mancos,CO,81328,MONTEZUMA COUNTY,"Provides a food box to needy individuals, seniors, and families in Mancos CO.","Residents of Mancos, Colorado. Area Served: Town of Mancos",Hours:Monday 3:00 pm - 5:00 pm except the 4th Monday wh...,No Phone Listed,http://www.facebook.com/Mancos-FoodShare-1032159926891842,37.345067,-108.297708
Food Pantry,WEST END FAMILY LINK CENTER,853 Main St,Nucla,CO,81424,MONTROSE COUNTY,"Provides a food box to individuals, seniors and families in need. Also administers the CSFP and TEFAP",programs for qualifying applicants...,No restrictions applied Area Served: Montrose County,"Monday - Friday, 8:30 a.m. - 4 p.m.",(970) 864-2245,38.2632714,-108.545784
Emergency Food Assistance Program (TEFAP),OURAY COUNTY FOOD PANTRY,602 N Cora St,Ridgway,CO,81432,OURAY COUNTY,Provides USDA food to low-income households.,Households must earn less than 200% of the Federal Poverty Level (FPL) or participate in one of the following governmen...,"Thursday, 12:30 pm - 3:30 pm",(970) 626-4273,http://ouraycountyfoodpantry.org,38.156621,-107.7572652
Commodity Supplemental Food Program (CSFP),OURAY COUNTY FOOD PANTRY,602 N Cora St,Ridgway,CO,81432,OURAY COUNTY,Provides healthy food staples for low-income seniors.,Individuals must be:Aged 60 years or olderLiving in ColoradoEarning less than 130% of the Federal Poverty Level (FPL) A...,"Thursday, 12:30 pm - 3:30 pm",(970) 626-4273,http://ouraycountyfoodpantry.org,38.156621,-107.7572652
Mobile Food Pantry,FOOD BANK FOR LARIMER COUNTY,201 S Impala Dr,Fort Collins,CO,80521,LARIMER COUNTY,Offers a drive-through mobile food pantry for those in need.,Larimer County residents Area Served: Larimer County,"1st, 3rd Thursday, 5:15 p.m. - 6:30 p.m.",(970) 493-4477,http://foodbanklarimer.org/mobiles,40.5872724,-105.1219739
Food & Clothing Bank,AURORA FIRST SEVENTH DAY ADVENTIST CHURCH,11400 E Mississippi Ave,Aurora,CO,80012,ARAPAHOE COUNTY,Provides a food and clothing bank for the community.,"No restrictions applied Area Served: Arapahoe, Denver counties","3rd Sunday, 10 a.m. - 12 p.m.",(303) 755-1617,http://auroraarstco.adventistchurch.org,39.6961142,-104.8550663
Food Pantry,VILLAGE EXCHANGE CENTER,1609 Havana St,Aurora,CO,80010,ADAMS COUNTY,"Provides individuals and families with culturally relevant food and personal hygiene items, including: Fresh produce Meals Diapers Toiletries","No restrictions applied Area Served: Adams, Arapahoe, Broomfield, Denver, Douglas, Jefferson counties","Monday - Friday, 9 a.m. - 5 p.m.",(720) 668-9968,http://villageexchangecenter.org/programs/village-pantry/,39.742282,-104.8661782
Food Pantry,CALVARY CHAPEL FOOD PANTRY,103 E Bridge St,Brighton,CO,80601,ADAMS COUNTY,Offers food to individuals/families in need. All items are subject to availability.,"No restrictions applied Area Served: Adams, Arapahoe, Broomfield, Denver, Douglas, Jefferson counties","2nd, 4th Monday, 5 p.m. - 6 p.m.",(303) 659-1886,No Website Listed,39.9870311,-104.8221776
Food Pantry,METRO CARING,1100 E 18th Ave,Denver,CO,80218,DENVER COUNTY,"Provides a fresh food market where the community can choose from an array of nutritious foods,",including:Fresh fruits and vegetables Whole grains Dairy Lean protein Baby formula and diapers are offered when they're available...,No restrictions applied Area Served: Statewide,"Monday, Thursday, 9 a.m. - 11:30 a.m. - 12:30 p.m...",(303) 860-7200,39.7446234,-104.9730507
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,3060 S Monaco St Pkwy,Denver,CO,80222,DENVER COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","2nd, 4th Thursday, 3 p.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.6614613,-104.9122488
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,14000 E Jewell Ave,Aurora,CO,80012,ARAPAHOE COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","2nd, 4th Wednesday, 3 p.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.6810838,-104.826839
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,1450 S Pierce St,Lakewood,CO,80232,JEFFERSON COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","1st Tuesday, 3 p.m. (While Supplies Last)",(303) 375-5853,39.6907746,-105.0714054
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,13300 W 6th Ave,Denver,CO,80215,JEFFERSON COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","1st Saturday, 9 a.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.7260565,-105.0501581
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,3601 W Belleview Ave,Littleton,CO,80123,ARAPAHOE COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","4th Wednesday, 9 a.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.624246,-105.035112
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,15640 E 6th Ave,Aurora,CO,80011,ARAPAHOE COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","1st Saturday, 9 a.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.7255329,-104.8064915
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,18000 E Arapahoe Rd,Aurora,CO,80016,ARAPAHOE COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","4th Saturday, 2 p.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.5881157,-104.6893405
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,2746 Fifth St,Castle Rock,CO,80104,DOUGLAS COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1 -2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","4th Saturday, 9 a.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.377227,-104.831067
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,6475 W 29th Ave,Wheat Ridge,CO,80214,JEFFERSON COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","3rd Tuesday, 3 p.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.758546,-105.0672737
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,440 Powder Run Dr,Central City,CO,80427,GILPIN COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served:  Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","3rd Tuesday, 11 a.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.793099,-105.5093541
Food Pantry - Pueblo Community College,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,900 W Orman Ave,Pueblo,CO,81004,PUEBLO COUNTY,Food Pantry providing food to those in need.,Only open to students during COVID Bring ID or know SS# Area Served:  Pueblo County,"Hours:Hours vary, see Service for specific Hours",(719) 296-6995,https://careandshare.org,38.2631861,-104.6371719
Mobile Food Pantry,FOOD BANK OF THE ROCKIES,905 CO-83,Franktown,CO,80116,DOUGLAS COUNTY,Provides food to communities by sending semi-trucks to set locations and distributing food for 1-2 hours.,"No restrictions applied Area Served: Adams, Arapahoe, Delta, Denver, Douglas, Eagle, Elbert, Garfield, Gilpin, Grand, Ja...","2nd Friday, 9:30 a.m. (While Supplies Last)",(303) 375-5853,http://foodbankrockies.org,39.3762926,-104.751033
Food Bank,MOUNTAIN FAMILY CENTER,208 12th St,Kremmling,CO,80459,GRAND COUNTY,Provides food for families or individuals in need. Also offers emergency food items outside each location.,Individuals must be Grand County residents. Area Served: Grand County,"Tuesday, Thursday, 10 a.m. - 2 p.m.",(970) 557-3186,http://mountainfamilycenter.org,40.06057,-106.378597
Food Bank,MOUNTAIN FAMILY CENTER,312 5th St,Walden,CO,80480,JACKSON COUNTY,Provides food for families or individuals in need. Also offers emergency food items outside each location.,Individuals must be Grand County residents. Area Served: Grand County,"1st, 3rd, 4th Wednesday, 2 p.m. - 4 p.m.",(970) 557-3186,http://mountainfamilycenter.org,40.7297575,-106.2842403
Food Assistance,LIFTUP OF ROUTT COUNTY,227 Dodge Ave,Oak Creek,CO,80467,ROUTT COUNTY,"Provides food assistance, including:Food bank for the general community The Commodity Supplemental Food Program The Emergency Food Assistance Program for low-income household...",Individuals must be residents of Routt County. Additional eligibility requirements may apply. Area Served:  Routt County,"Tuesday, Thursday, 9:30 a.m. - 11:30 a.m.; Wednes...",(970) 870-8804,http://liftuprc.org,40.2755551,-106.9539921
Commodities and Food Assistance,FOOD BANK FOR LARIMER COUNTY,1301 Blue Spruce Dr,Fort Collins,CO,80524,LARIMER COUNTY,Provides a client choice food pantry for individuals in need. Also distributes the Commodities Supplemental Food Program (CSFP) to eligible seniors and The Emergency Food Assistance Program (TFAP)...,Low-income residents of Larimer County Area Served:  Larimer County,"Tuesday, Thursday - Saturday, 10 a.m. - 3 p.m.; W...",(970) 493-4477,http://foodbanklarimer.org/our-programs,40.6047193,-105.0725555
Emergency Assistance,HOUSE OF NEIGHBORLY SERVICE,375 Meadowlark Dr,Berthoud,CO,80513,LARIMER COUNTY,"Provides basic needs assistance, such as: Monthly food baskets (based on family size)Baby formula and diapers Clothing and household items Prescription assistance Bus tokens Gas vouchers for medical or job-related appointments (must be able to confirm...",Individuals must reside in the service area and have a maximum household income of 70% AMI.,Area Served:  Cities of Berthoud,"Tuesday, Thursday, 9 a.m. - 5 p.m.",(970) 667-4939 (Loveland Office),40.3032363,-105.1045129
Commodities,COLORADO EAST COMMUNITY ACTION AGENCY,183 E Ave,Limon,CO,80828,LINCOLN COUNTY,Provides The Emergency Food Assistance Program (TFAP) for qualified low-income residents.,"No restrictions applied Area Served: Cheyenne, Elbert, Kit Carson, Lincoln counties","Monday - Thursday, 10 a.m. - 3:30 p.m.",(719) 775-8586,No Website Listed,39.2617039,-103.6880308
Mobile Food Pantry,NEIGHBOR OUTREACH OF COLORADO,500 E 84th Ave,Thornton,CO,80229,ADAMS COUNTY,"Provides a mobile food pantry, offering:Fresh produce Canned goods Bread Meat",No restrictions applied Area Served: Statewide,"1st Thursday, 2 p.m. - 4 p.m.",(720) 938-4304,http://neighboroutreach.org,39.8473296,-104.9814198
Food Pantry - Ecumenical Church of Pueblo West,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,434 S Conquistador Ave,Pueblo West,CO,81007,PUEBLO COUNTY,Food Pantry providing food to those in need.,Residents of Pueblo County Area Served:  Pueblo County,"Hours:Tuesday, 5 p.m. to 7 p.m.; Thursday, 11 a.m. to 2...",(719) 547-3088,No Website Listed,38.327273,-104.77256
Food Pantry - Lynn Gardens Baptist Church,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,3804 W Pueblo Blvd,Pueblo,CO,81005,PUEBLO COUNTY,Food Pantry providing food to those in need.,Residents of Pueblo County Area Served:  Pueblo County,"Hours vary, see Service for specified Hours",(719) 564-4434,No Website Listed,38.2239923,-104.6567669
Food Pantry - Praise Assembly of God,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,2000 Troy Ave,Pueblo,CO,81001,PUEBLO COUNTY,Food Pantry providing food to those in need.,Residents of Pueblo County Area Served: Pueblo County,"Hours vary, see Service for specified Hours",(719) 544-9486,https://careandshare.org,38.285559,-104.573368
Food Pantry - Canon City SDA Church,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,3180 E Main St,Cañon City,CO,81212,FREMONT COUNTY,Food Pantry providing food to those in need.,"Residents of zip codes 81226, 81212, 81215, 81221, 81223, 81232, 81240, 81244 Area Served:  Zip Codes: 81226, 81212, 81215, 81221, 81223, 81232, 81240, 81244","Tuesday, 9 a.m. - 11:45 a.m.",(719) 275-2808,No Website Listed,38.4466521,-105.1918726
Food Pantry - First United Methodist Church Canon City,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,801 Main St,Cañon City,CO,81212,FREMONT COUNTY,Food Pantry providing food to those in need.,Residents of Fremont County by appointment only Area Served: Fremont County,"Hours vary, see Service for specified Hours",(719) 275-0681,No Website Listed,38.442525,-105.236751
Food Pantry - Pantry of Fremont,CARE AND SHARE - PUEBLO DISTRIBUTION CENTER,614 Yale Pl,Cañon City,CO,81212,FREMONT COUNTY,Food Pantry providing food to those in need.,Residents of Fremont County Area Served: Fremont County,"Hours vary, see Service for specified Hours",(719) 458-9252,No Website Listed,38.4560279,-105.232285
Food Program,RURAL COMMUNITIES RESOURCE CENTER,252 W 1st St,Akron,CO,80720,WASHINGTON COUNTY,Offers emergency food assistance to individuals and families including:Perishable foods Non-perishable food Personal care items,"Residents of the service area Area Served:  Washington, Yuma counties","Monday - Thursday, 9 a.m. - 5 p.m.; Friday, 9 a.m...",(970) 848-3867 (Yuma),http://rcrcenter.org/,40.1590193,-103.2152557
Mobile Food Pantry,COMMUNITY FOOD SHARE,1400 S Collyer St,Longmont,CO,80501,BOULDER COUNTY,"Operates a mobile food pantry at rotating locations, offering: Fresh produce Dairy Non-perishable pantry items","Residents of the service area Area Served: Boulder, Broomfield counties","2nd, 4th Thursday, 1 p.m. - 2:15 p.m.",(303) 652-3663,http://communityfoodshare.org/get-food/services-we-provide/mobile-pantries/,40.1405709,-105.0934647
Mobile Food Pantry,COMMUNITY FOOD SHARE,950 Lashley St,Longmont,CO,80504,BOULDER COUNTY,"Operates a mobile food pantry at rotating locations, offering: Fresh produce Dairy Non-perishable pantry items","Residents of the service area Area Served:  Boulder, Broomfield counties","1st, 3rd Thursday, 10 a.m. - 12 p.m.",(303) 652-3663,http://communityfoodshare.org/get-food/services-we-provide/mobile-pantries/,40.174986,-105.0872787
Mobile Food Pantry,COMMUNITY FOOD SHARE,1500 S Hover St,Longmont,CO,80501,BOULDER COUNTY,"Operates a mobile food pantry at rotating locations, offering: Fresh produce Dairy Non-perishable pantry items","Residents of the service area Area Served: Boulder, Broomfield counties","1st, 3rd Tuesday, 12 p.m. - 1:30 p.m.",(303) 652-3663,http://communityfoodshare.org/get-food/services-we-provide/mobile-pantries/,40.138056,-105.130777
Food Assistance,ADAMS COUNTY FOOD DISTRIBUTION,7111 E 56th Ave,Commerce City,CO,80022,ADAMS COUNTY,Provides weekly food assistance to Colorado residents.,No restrictions applied Area Served: Statewide,"Wednesday - Friday, 10 a.m. - 1 p.m.",(720) 878-3563,http://adamscountyfoodbank.org,39.7989309,-104.9054879
Emergency Food,COMMUNITY TABLE,8555 W 57th Ave,Arvada,CO,80002,JEFFERSON COUNTY,Provides emergency food to individuals and families. Each client selects a supply of food based on household size. Families and individuals may use this program when needed...,"No restrictions applied Area Served: Adams, Boulder, Denver, Gilpin, Jefferson counties","Tuesday, Friday, 12 p.m. - 3:45 p.m.; Wednesday, ...",(303) 424-6685,http://cotable.org,39.800294,-105.0928581
